date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:59	59942/59942	---M-Z	200	added ('OK')	text/html	etag:%22ea26-55d052a5b31b6-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html	(from )
16:30:59	2914/2914	---M-Z	404	error ('Not%20Found')	text/html	etag:%2227cf-55d04fb48be1a-gzip%22	https://www.canada.ca/robots.txt		(from )
16:30:59	153475/153475	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d27fb7ddbc92d3c0f722bfba34edba69:1509026180%22	http://assets.adobedtm.com/caacec67651710193d2331efef325107c23a0145/satelliteLib-78cf42deb149c9766cbaaa6151e252b9b67c0200.js	C:/Customers/Health%20Canada/health%20Canada/assets.adobedtm.com/caacec67651710193d2331efef325107c23a0145/satelliteLib-78cf42deb149c9766cbaaa6151e252b9b67c0200.js	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:00	12744/12744	---M-Z	200	added ('OK')	text/css	etag:%2231c8-559ca68378f1e-gzip%22	https://www.canada.ca/etc/designs/canada/clientlib-all.min.css	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/etc/designs/canada/clientlib-all.min.css	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:00	252/252	---M-Z	200	added ('OK')	text/css	etag:%22fc-55cb41cea73ed-gzip%22	https://www.canada.ca/etc/designs/canada/wet-boew/css/wet-boew.min.css	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/etc/designs/canada/wet-boew/css/wet-boew.min.css	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:00	498473/498473	---M-Z	200	added ('OK')	text/css	etag:%2279b29-55d027eec79a2-gzip%22	https://www.canada.ca/etc/designs/canada/wet-boew/css/theme.css	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/etc/designs/canada/wet-boew/css/theme.css	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:00	1056/1056	---M-Z	200	added ('OK')	text/css	etag:%22420-55cb454ef1df7-gzip%22	https://www.canada.ca/etc/designs/canada/wet-boew/css/noscript.min.css	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/etc/designs/canada/wet-boew/css/noscript.min.css	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Nov%202017%2020:31:00%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Customers/Health%20Canada/health%20Canada/www.googletagmanager.com/gtm.65445.delayed	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:02	55386/55386	---M-Z	200	added ('OK')	text/html	etag:%22d457-55d05394cbfba-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/activities/fact-sheets/safe-medical-devices-fact-sheet.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/activities/fact-sheets/safe-medical-devices-fact-sheet.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:02	71621/71621	---M-Z	200	added ('OK')	text/html	etag:W/%22117c5-55d05dde38867-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/what-new.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/what-new.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:02	50869/50869	---M-Z	200	added ('OK')	text/html	etag:W/%22c6b5-55d05dde78004-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/medical-devices-rss-feed.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices/medical-devices-rss-feed.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:03	61266/61266	---M-Z	200	added ('OK')	text/html	etag:W/%22eb50-55d05ddeab83a-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/nanotechnology-based-health-products-food.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/nanotechnology-based-health-products-food.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:03	53150/53150	---M-Z	200	added ('OK')	text/html	etag:%22cf9e-55d0513fa1fa9-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/medeffect-canada/advisories-warnings-recalls.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/medeffect-canada/advisories-warnings-recalls.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:03	60911/60911	---M-Z	200	added ('OK')	text/html	etag:W/%22e9ed-55d05ddf2bafe-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/progressive-licensing.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/progressive-licensing.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:03	55760/55760	---M-Z	200	added ('OK')	text/html	etag:%22d9d0-55d05581ce2ec-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/compliance-enforcement/information-health-product/medical-devices.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/compliance-enforcement/information-health-product/medical-devices.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:04	49487/49487	---M-Z	200	added ('OK')	text/html	etag:W/%22c14f-55d05ddfbbba9-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/access-drugs-exceptional-circumstances.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/access-drugs-exceptional-circumstances.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:04	61765/61765	---M-Z	200	added ('OK')	text/html	etag:%22f145-55d056a95fb47-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/biologics-radiopharmaceuticals-genetic-therapies.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/biologics-radiopharmaceuticals-genetic-therapies.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
16:31:04	58390/58390	---M-Z	200	added ('OK')	text/html	etag:W/%22e416-55d054150af60-gzip%22	https://www.canada.ca/en/health-canada/services/drugs-health-products/classification-health-products-device-drug-interface.html	C:/Customers/Health%20Canada/health%20Canada/www.canada.ca/en/health-canada/services/drugs-health-products/classification-health-products-device-drug-interface.html	(from https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html)
